ID	title	year	runtime	rating	votes	budget	opening_weekend_usa	gross_usa	worldwide_gross	genres
tt0202623	The Third Wheel	2002	91	5.5	4415	n/a	n/a	n/a	44925	Comedy,Romance
tt0202677	The Way of the Gun	2000	119	6.7	30582	8500000	2150979	6055661	13200972	Action,Crime,Drama
tt0203009	Moulin Rouge!	2001	127	7.6	255530	50000000	167540	57386607	184928135	Drama,Musical,Romance
tt0203019	Men of Honor	2000	129	7.2	102398	32000000	13339465	48818921	82343495	Biography,Drama
tt0203119	Sexy Beast	2000	89	7.3	51187	n/a	170356	6946056	10045677	Crime,Drama,Thriller
tt0203166	Together	2000	106	7.4	19795	n/a	45848	1034829	14596148	Comedy,Drama,Romance
tt0203230	You Can Count on Me	2000	111	7.5	26446	1200000	118170	9416804	11242521	Drama
tt0203540	Greenfingers	2000	91	6.8	5306	n/a	65584	1443067	1961054	Comedy,Crime,Romance
tt0203632	The Princess and the Warrior	2000	135	7.5	13764	n/a	51426	872091	1017667	Drama,Mystery,Romance
tt0203755	One Night at McCool's	2001	93	6.1	27724	18000000	2520041	6290673	13578186	Comedy,Crime
tt0204137	Animal Factory	2000	94	6.6	12129	3600000	5746	43805	43805	Crime,Drama
tt0204175	Boys and Girls	2000	94	5.4	15375	35000000	7008950	21799652	25850615	Comedy,Drama,Romance
tt0204313	Exorcist: The Beginning	2004	114	5.1	32145	80000000	18054001	41821986	76899937	Horror,Mystery,Thriller
tt0204626	The Watcher	2000	97	5.3	24598	30000000	9062295	28946615	47267829	Crime,Drama,Mystery
tt0204700	Trouble Every Day	2001	101	6.0	6742	n/a	2984	9189	15571	Drama,Horror,Thriller
tt0204946	Bring It On	2000	98	6.0	82608	11000000	17362105	68379000	90449929	Comedy,Romance,Sport
tt0205177	Kevin & Perry Go Large	2000	82	5.6	11818	n/a	n/a	n/a	15932	Comedy,Music
tt0205271	Dr. T & the Women	2000	122	4.6	17064	23000000	5012867	13113041	22844291	Comedy,Drama,Romance
tt0205873	The Dish	2000	101	7.1	14615	n/a	70612	2552992	16575074	Comedy,Drama,History
tt0206226	Psycho Beach Party	2000	95	6.2	5266	1500000	21359	268117	268117	Comedy,Horror,Mystery
tt0206275	Save the Last Dance	2001	112	6.2	54708	13000000	23444930	91057006	131706809	Drama,Music,Romance
tt0206314	Joy Ride	2001	97	6.6	61230	23000000	7347259	21974919	36642838	Mystery,Thriller
tt0206420	Woman on Top	2000	92	5.3	9624	8000000	2008191	5020111	10194274	Comedy,Fantasy,Romance
tt0206634	Children of Men	2006	109	7.9	437282	76000000	501003	35552383	70099445	Drama,Thriller
tt0206917	The Man Who Cried	2000	100	6.2	13704	n/a	93455	747092	1322763	Drama,Music,Romance
tt0206926	Maybe Baby	2000	104	5.7	5428	n/a	8351	20501	173763	Comedy,Romance
tt0206963	My First Mister	2001	109	7.2	5290	5250000	102456	568762	595005	Comedy,Drama,Romance
tt0207201	What Women Want	2000	127	6.4	183255	70000000	33614543	182811707	374111707	Comedy,Fantasy,Romance
tt0208003	Big Momma's House	2000	99	5.1	77326	30000000	25661041	117559438	173959438	Action,Comedy,Crime
tt0208092	Snatch	2000	104	8.3	734809	n/a	27932	30328156	83557872	Comedy,Crime
tt0208196	Happy Accidents	2000	110	7.2	9191	n/a	n/a	688523	688523	Comedy,Romance
tt0208874	The Contender	2000	126	6.9	22102	20000000	5363900	17872723	22428990	Drama,Thriller
tt0208988	Get Carter	2000	102	5.2	31237	63600000	6637830	14967182	19412993	Action,Crime,Drama
tt0208990	The Son's Room	2001	99	7.3	16669	n/a	4887	1016340	11767402	Drama
tt0209077	Ken Park	2002	93	5.9	27887	n/a	n/a	n/a	1058905	Drama
tt0209144	Memento	2000	113	8.4	1053252	9000000	235488	25544867	39723096	Mystery,Thriller
tt0209163	The Mummy Returns	2001	130	6.3	288200	98000000	68139035	202019785	443280904	Action,Adventure,Fantasy
tt0209475	The Wedding Planner	2001	103	5.3	72143	35000000	13510293	60400856	94728529	Comedy,Romance
tt0209958	The Cell	2000	107	6.3	91334	33000000	17515050	61334059	104155843	Horror,Sci-Fi,Thriller
tt0210065	Gangster No. 1	2000	103	6.8	12564	n/a	5514	30915	30915	Crime,Drama,Thriller
tt0210070	Ginger Snaps	2000	108	6.8	39194	5000000	1430	2554	2554	Drama,Fantasy,Horror
tt0210075	Girlfight	2000	110	6.7	9063	1000000	197896	1565852	1666028	Drama,Sport
tt0210358	Things You Can Tell Just by Looking at Her	2000	109	6.5	6297	n/a	n/a	n/a	1433668	Drama,Romance
tt0210382	The Weight of Water	2000	114	5.9	8635	16000000	45888	109130	321279	Crime,Drama,Mystery
tt0210616	Center Stage	2000	115	6.7	17776	29000000	4604621	17200925	26385941	Drama,Music,Romance
tt0210945	Remember the Titans	2000	113	7.8	187402	30000000	20905831	115654751	136706683	Biography,Drama,Sport
tt0211181	102 Dalmatians	2000	100	4.9	32623	85000000	19883351	66957026	183611771	Adventure,Comedy,Family
tt0211387	Water Drops on Burning Rocks	2000	82	6.8	5764	n/a	10617	86132	n/a	Comedy,Drama,Romance
